id,name,description,code,price,weight,is_foc,main_product_id,is_active,sensitive,created_at,updated_at
97,Sikat Silicon (FOC),,SS FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2020-12-26 01:52:38
98,Kopi Raja,,KRJ,1,0,0,0,0,0,2023-01-17 09:02:36,2021-01-06 10:00:58
99,Doxte Tab Sachet ,,SDT,4,0,0,0,0,0,2023-01-17 09:02:36,2021-01-13 02:51:00
100,X Ring,,RG,5,0,0,0,0,1,2023-01-17 09:02:36,2021-01-13 02:52:38
101,Carrot Susu,,CS,50,0,0,0,0,0,2023-01-17 09:02:36,2021-01-25 03:58:05
102,Carrot Susu (FOC),,CS FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2021-01-25 03:58:57
103,Kopi Peria Katak,,KPK,50,245,0,0,1,0,2023-01-17 09:02:36,2021-01-25 04:01:18
104,Kopi Peria Sachet (FOC),,KPS FOC,0,0,1,0,1,0,2023-01-17 09:02:36,2021-01-25 04:02:02
105,Cocunyit,,CCY,50,0,0,0,0,0,2023-01-17 09:02:36,2021-01-25 04:05:39
106,Cocunyit (FOC),,CCY FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2021-01-25 04:06:07
107,Sikat Silicon,,SS,3,0,0,0,0,0,2023-01-17 09:02:36,2021-02-05 03:53:47
108,Kopi Peria Sachet,,KPS,2,0,0,0,1,0,2023-01-17 09:02:36,2021-02-05 03:54:40
109,Kopi Peria Katak (FOC),,KPK (FOC),0,245,1,0,1,0,2023-01-17 09:02:36,2021-02-05 03:56:06
110,Cocunyit,,CCY,10,0,0,0,0,0,2023-01-17 09:02:36,2021-02-17 04:19:32
111,Cocunyit (FOC),,CCY FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2021-02-17 04:33:17
112,Olive Tin Agent,,OT AG,50,349,0,0,1,0,2023-01-17 09:02:36,2021-03-26 05:40:44
113,CS - Carrot susu,,CS,50,0,0,0,1,0,2023-01-17 09:02:36,2021-07-05 13:11:44
114,Bee Halia Sachet (FOC),,BHS FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2021-07-06 10:09:43
115,Bee Halia Sachet,,BHS,5,0,0,0,0,0,2023-01-17 09:02:36,2021-07-07 02:33:12
116,Doxtejoint Gold,,DJTGOLD,90,116,0,0,1,0,2023-01-17 09:02:36,2021-07-24 07:48:44
117,Doxtejoint Silver,,DJTSILVER,90,116,0,0,1,0,2023-01-17 09:02:36,2021-07-24 07:50:26
118,Olive Tin Gold,,OTGOLD,150,349,0,0,1,0,2023-01-17 09:02:36,2021-07-24 07:51:06
119,Olive Tin Silver,,OTSILVER,150,349,0,0,1,0,2023-01-17 09:02:36,2021-07-24 07:51:38
120,Kopi Peria Katak Sachet,,KPKS,0,245,1,0,1,0,2023-01-17 09:02:36,2021-09-09 04:54:39
121,Neloco,,NLC,35,349,0,0,1,0,2023-01-17 09:02:36,2021-11-03 07:49:23
122,Neloco FOC,,NC FOC,0,349,1,0,1,0,2023-01-17 09:02:36,2021-11-03 07:50:13
123,Carota,,CRT,50,349,0,0,1,0,2023-01-17 09:02:36,2021-11-25 06:41:39
124,Carota (FOC),,CRT FOC,0,349,1,0,1,0,2023-01-17 09:02:36,2021-11-25 06:42:26
125,Kopi Ala Baladeen,,KAB,50,0,0,0,0,0,2023-01-17 09:02:36,2021-11-25 06:44:15
126,Kopi Ala Baladeen (FOC),,KAB FOC,0,0,1,0,0,0,2023-01-17 09:02:36,2021-11-25 06:44:44
127,Doxtejoint,,DJ AG,90,116,0,0,1,0,2023-01-17 09:02:36,2021-12-20 01:13:33
128,Doxtejoint Agent,,DJ AG,90,116,0,0,1,0,2023-01-17 09:02:36,2021-12-20 01:48:22
129,Jus A'urat,,JA,50,350,0,0,1,0,2023-01-17 09:02:36,2021-12-31 03:34:56
130,Jus A'urat FOC,,JA FOC,0,350,1,0,1,0,2023-01-17 09:02:36,2021-12-31 03:38:34
131,El-Mahali,,ELM,50,0,0,0,1,0,2023-01-17 09:02:36,2022-01-28 15:11:46
132,El-Mahali (FOC),,ELM FOC,0,0,1,0,1,0,2023-01-17 09:02:36,2022-01-28 15:13:23
133,Jus A'urat (Chocolate Halia),,JA_CA,0,350,0,0,1,0,2023-01-17 09:02:36,2022-02-21 14:54:14
134,Olive Tin (Sabah & Sarawak),,OTSS,50,349,0,0,1,0,2023-01-17 09:02:36,2022-03-08 07:18:14
135,Susu Ajwa,,AJ,50,0,0,0,1,0,2023-01-17 09:02:36,2022-03-18 02:16:35
136,Susu Ajwa (FOC),,AJ FOC,0,0,1,0,1,0,2023-01-17 09:02:36,2022-03-18 02:17:27
137,Platinum Customer,,PlatCust,0,100,0,0,1,0,2023-01-17 09:02:36,2022-04-01 04:16:57
138,Jawatan Kosong Marketer,,,0,0,0,0,1,0,2023-01-17 09:02:36,2022-04-23 03:22:32
139,Jawatan Kosong OSO,,,0,0,0,0,1,0,2023-01-17 09:02:36,2022-04-23 03:23:08
140,Susu Sacha Inchi,,SSI,50,280,0,0,1,0,2023-01-17 09:02:36,2022-04-28 02:19:14
141,Susu Sacha Inchi (FOC),,SSI FOC,0,280,1,0,1,0,2023-01-17 09:02:36,2022-04-28 02:19:52
142,Doxtejoint Cream (Hybrid),,DJHYB,90,116,0,0,1,0,2023-01-17 09:02:36,2022-05-12 09:15:44
143,Neloco Hybrid,,NLCHYB,50,349,0,0,1,0,2023-01-17 09:02:36,2022-05-12 09:19:41
144,OliveTin Hybrid,,OTHYB,50,0,0,0,1,0,2023-01-17 09:02:36,2022-05-12 09:20:18
145,Kopi Peria Katak Hybrid,,KPKHYB,50,245,0,0,1,0,2023-01-17 09:02:36,2022-06-08 08:02:06
146,KOPI ALA KAZIM,,KAK,30,250,0,0,1,0,2023-01-17 09:02:36,2022-08-16 02:24:27
147,KPI_TEST,,KPI_TEST,50,0,0,0,1,0,2023-01-17 09:02:36,2022-08-16 03:12:16
148,KOPI ALA KAZIM (FOC),,KAK (FOC),0,250,1,0,1,0,2023-01-17 09:02:36,2022-08-30 09:03:24
149,Doxtejoint Cream Ekstra (FOC),,DJM,0,116,1,0,1,0,2023-01-17 09:02:36,2022-09-02 04:24:14
150,Kopi Ala Kazim,,KAK,30,250,0,0,0,0,2023-01-17 09:02:36,2022-09-24 02:14:49
151,Neloco (11.11),,NLC,35,349,0,0,1,0,2023-01-17 09:02:36,2021-11-03 07:49:23
152,Jawatan Kosong Web Developer,,,0,1,0,0,1,0,2023-01-17 09:02:36,2022-12-02 02:43:37
153,Jawatan Kosong Video Creator,,,0,1,0,0,1,0,2023-01-17 09:02:36,2022-12-02 02:44:24
154,Data Diabetics (AT),,DDAT,50,0,0,0,1,0,2023-01-17 09:02:36,2023-01-09 07:30:29
